Country,GDP
Denmark,76687
Iceland,77567
Ireland,127623
Luxembourg,143341
Netherlands,78215
Norway,104459
Switzerland,92980
Austria,73751
Belgium,70456
Finland,65060
France,61156
Germany,69338
Italy,58754
Malta,62445
Sweden,70206
UK,58906
Andorra,71587
Cyprus,57100
Czechia,53816
Estonia,48992
Greece,41186
Hungary,45942
Israel,53434
Latvia,42501
Lithuania,51877
Poland,49464
Portugal,48758
Romania,47903
Slovakia,44650
Slovenia,54947
Spain,52779
Turkey,44151
Albania,21395
Armenia,23054
Azerbaijan,23685
Bosnia and Herzegovina,22845
Bulgaria,38689
Georgia,24681
Macedonia,24872
Moldova,17384
Montenegro,31216
Serbia,27401
Ukraine,18007
