Country,Area (km^2),Population
Denmark,43094,5935619
Iceland,103125,399189
Ireland,84421,7185600
Luxembourg,2586,672050
Netherlands,41865,18165000
Norway,385207,5550203
Switzerland,41285,8902308
Austria,83879,9027999
Belgium,30689,11763650 
Finland,338145,5603851
France,643801,68373433
Germany,357569,82719540
Italy,301340,58968501
Malta,316,542051
Sweden,450295,10540886
UK,244376,67596281
Andorra,46763,85863
Cyprus,9251,923272
Czechia,78871,10900555
Estonia,45335,1373101
Greece,131957,10413982
Hungary,93030,9580000
Israel,22072,9900000 
Latvia,64589,1842226
Lithuania,65300,2885891
Poland,312696,38036118
Portugal,92230,10639726
Romania,238398,19064409
Slovakia,49035,5460185
Slovenia,20271,2124709
Spain,505990,48797875
Turkey,783562,85372377
Albania,28748,2402113
Armenia,29743,3015400
Azerbaijan,86600,10353296
Bosnia and Herzegovina,51209,3434000
Bulgaria,110993,6385500 
Georgia,69700,3688647 
Macedonia,25436,1836713
Moldova,33843,2423300
Montenegro,13812,633158
Serbia,88499,6647003
Ukraine,603628,33365000
