Country,Zone
Denmark,North
Iceland,North
Ireland,North
Luxembourg,West
Netherlands,West
Norway,North
Switzerland,West
Austria,West
Belgium,West
Finland,North
France,West
Germany,West
Italy,South
Malta,South
Sweden,North
UK,North
Andorra,South
Cyprus,East
Czechia,East
Estonia,North
Greece,South
Hungary,East
Israel,East
Latvia,North
Lithuania,East
Poland,East
Portugal,South
Romania,East
Slovakia,East
Slovenia,South
Spain,South
Turkey,South
Albania,South
Armenia,South
Azerbaijan,South
Bosnia and Herzegovina,South
Bulgaria,East
Georgia,East
Macedonia,South
Moldova,East
Montenegro,South
Serbia,South
Ukraine,East
